species,category,interpretation_text
臺灣藍鵲,fun_fact,"Taiwan Blue Magpie is an endemic species of Taiwan, known for its vibrant blue feathers and long tail. It's often called the ""Blue Gem of the Forest"" and lives in social groups, making loud and varied calls."
臺灣藍鵲,fun_fact,"This beautiful bird is commonly found in Taiwan's mountain areas, especially in broadleaf forests at elevations between 500-2000 meters. Its blue feathers shimmer in sunlight, making it very eye-catching."
臺灣藍鵲,fun_fact,"The Taiwan Blue Magpie has an exceptionally long tail, almost twice the length of its body. When flying through forests, the long tail flows elegantly like a ribbon, which is a key identifying feature."
麻雀,fun_fact,"The sparrow is one of the most common urban birds, with incredible adaptability. They can survive in various environments, from parks to markets, from rural to urban areas, almost everywhere."
麻雀,fun_fact,"Despite their small size, sparrows are very intelligent. They observe human behavior, learn to forage at the right times, and can even open simple containers to get food."
麻雀,fun_fact,"While sparrow calls are simple, they are quite varied. Different calls convey different meanings, including alarm, courtship, and communication with flock members, showing their complex communication abilities."
鳳頭蒼鷹,fun_fact,"Crested Goshawk is a common raptor in Taiwan's mid to low elevation mountain areas, with sharp eyes and strong talons. They are excellent hunters, primarily preying on small birds and mammals."
鳳頭蒼鷹,fun_fact,"The most distinctive feature of this hawk is the prominent crest on its head, which looks like a small cap. When alert, the crest stands up, making them appear more majestic."
鳳頭蒼鷹,fun_fact,"Crested Goshawks have exceptional flying skills, able to navigate quickly through dense forests to catch prey. Their vision is excellent, allowing them to spot small animals on the ground from high perches."
大鳳蝶,fun_fact,"The Great Mormon is one of Taiwan's largest butterflies, with a wingspan reaching up to 12 cm. They have beautiful black and white patterns and look spectacular when flying in sunlight."
大鳳蝶,fun_fact,"This butterfly particularly enjoys open grasslands and gardens, often seen dancing among flowers while collecting nectar. Their flight speed is not fast, but very graceful."
大鳳蝶,fun_fact,"Great Mormon caterpillars feed on Rutaceae plants, including citrus species. If you see this beautiful butterfly in a citrus orchard, it indicates a healthy environment."
紫斑蝶,fun_fact,"The Purple Crow is a famous migratory butterfly in Taiwan, collectively migrating to warmer southern regions each winter. Tens of thousands gather together, forming spectacular natural phenomena."
紫斑蝶,fun_fact,"This butterfly has beautiful purple spots on its wings that show metallic luster in sunlight. Different individuals have slightly varying spot sizes and color depths, making each one unique."
紫斑蝶,fun_fact,"The Purple Crow's migration routes are very fixed, following the same paths back and forth, demonstrating remarkable navigation abilities. Scientists are still studying how they remember these routes."
